,Sale_Price,Longitude,Latitude,Neighborhood,Lot_Area,Bldg_Type,Overall_Cond,TotRms_AbvGrd,Gr_Liv_Area,Second_Flr_SF,Garage_Type,Sale_Condition,Year_Built,Year_Remod_Add,Bedroom_AbvGr,Distance_m,Bath_AbvGr,Branch_Number
35,146000,-93.625848,42.049811,Northpark_Villa,2280,Twnhs,Average,7,1456,True,True,Normal,1978,1978,3,4117.532224621208,3,Branch_2
36,376162,-93.653201,42.062352,Northridge_Heights,12858,OneFam,Average,10,2334,True,True,Partial,2009,2010,3,6770.706935159064,3,Branch_1
37,306000,-93.654645,42.062109,Northridge_Heights,11478,OneFam,Average,7,1704,False,True,Normal,2007,2008,3,6862.937030950535,2,Branch_1
38,395192,-93.6537329,42.0611331,Northridge_Heights,10159,OneFam,Average,8,1940,False,True,Partial,2009,2010,3,6745.5407271780705,3,Branch_1
39,290941,-93.6528306,42.0612885,Northridge_Heights,12883,OneFam,Average,7,1544,False,True,Partial,2009,2010,3,6687.53874296052,2,Branch_1
40,220000,-93.652713,42.060872,Northridge_Heights,12182,OneFam,Average,7,1541,False,True,Partial,2005,2005,3,6657.305927128005,2,Branch_1
41,275000,-93.65332,42.0608079,Northridge_Heights,11520,OneFam,Average,7,1698,False,True,Normal,2005,2005,3,6698.5379392730665,2,Branch_1
42,259000,-93.652336,42.060879,Northridge_Heights,14122,OneFam,Average,8,1822,False,True,Normal,2005,2006,3,6630.060534622356,2,Branch_1
43,214000,-93.652307,42.060298,Northridge_Heights,10171,OneFam,Average,7,1535,False,True,Normal,2004,2004,3,6598.029376402117,2,Branch_1
44,611657,-93.655051,42.059617,Northridge_Heights,12919,OneFam,Average,11,2364,False,True,Partial,2009,2010,2,6767.15826657831,3,Branch_1
45,224000,-93.650436,42.058388,Northridge_Heights,6371,TwnhsE,Average,6,1358,False,True,Partial,2009,2010,2,6364.056778066018,2,Branch_1
46,500000,-93.656067,42.058599,Northridge_Heights,14300,OneFam,Average,10,2696,False,True,Normal,2003,2004,3,6794.811590794934,3,Branch_1
47,320000,-93.654853,42.057102,Northridge_Heights,13650,OneFam,Average,7,2250,True,True,Normal,2002,2002,3,6634.852410176531,3,Branch_1
48,319900,-93.654121,42.057164,Northridge_Heights,7658,TwnhsE,Average,6,1752,False,True,Normal,2005,2005,2,6582.2634255393405,2,Branch_1
49,205000,-93.649447,42.058252,Northridge_Heights,7132,TwnhsE,Average,6,1370,False,True,Normal,2006,2006,2,6284.017755391029,2,Branch_1
50,175500,-93.651013,42.057181,Northridge_Heights,2628,Twnhs,Average,6,1626,True,True,Normal,2003,2003,2,6349.027265426827,3,Branch_1
51,199500,-93.644356,42.061928,Gilbert,18494,OneFam,Average,6,1324,False,True,Normal,2005,2005,3,6114.35927561041,2,Branch_1
52,160000,-93.641635,42.06257,Bloomington_Heights,3203,TwnhsE,Average,6,1145,False,True,Normal,2006,2006,2,5962.946806535718,2,Branch_1
53,192000,-93.642252,42.062303,Bloomington_Heights,3182,TwnhsE,Average,6,1269,False,True,Normal,2004,2005,2,5989.456617583471,2,Branch_1
54,184500,-93.644076,42.061443,Gilbert,13300,OneFam,Average,7,1374,True,True,Normal,2004,2004,3,6066.418716888842,3,Branch_1
55,216500,-93.641487,42.060977,Gilbert,7851,OneFam,Average,8,1960,True,True,Normal,2002,2002,4,5856.923780336203,3,Branch_1
56,185088,-93.642447,42.061193,Gilbert,8577,OneFam,Average,7,1733,True,True,Normal,2004,2004,3,5937.042528434937,3,Branch_1
57,180000,-93.641325,42.060936,Gilbert,7750,OneFam,Average,7,1430,True,True,Normal,2000,2000,3,5843.143185365481,3,Branch_1
58,222500,-93.641337,42.057103,Gilbert,9505,OneFam,Average,8,2035,True,True,Normal,2001,2001,3,5629.410820921421,3,Branch_1
59,333168,-93.651381,42.054386,Northridge,14774,OneFam,Average,10,2599,True,True,Normal,1999,1999,4,6252.193307358435,3,Branch_1
60,355000,-93.652334,42.053243,Northridge,17433,OneFam,Average,7,2475,True,True,Normal,1998,1998,4,6278.650047620543,3,Branch_1
61,260400,-93.654206,42.051721,Northridge,10593,OneFam,Average,7,1720,False,True,Normal,1996,1996,3,6366.361502991465,2,Branch_1
62,325000,-93.653616,42.051674,Northridge,12256,OneFam,Average,9,2622,True,True,Normal,1994,1995,3,6318.503074393953,3,Branch_1
63,290000,-93.650356,42.052457,Northridge,11764,OneFam,Good,9,2270,True,True,Normal,1999,2007,4,6094.5425730948455,3,Branch_1
64,221000,-93.650578,42.052437,Northridge,16770,OneFam,Average,7,1839,True,True,Normal,1998,1998,4,6110.94346104686,3,Branch_1
65,410000,-93.652972,42.050909,Northridge,14720,OneFam,Average,9,3238,True,True,Normal,1995,1996,4,6240.56189588333,3,Branch_1
66,221500,-93.642368,42.05306,Somerset,8987,OneFam,Average,6,1595,False,True,Normal,2005,2006,2,5508.069632066349,2,Branch_1
67,204500,-93.649976,42.051827,Somerset,9215,OneFam,Average,4,1218,False,True,Partial,2009,2010,2,6040.552955978198,2,Branch_1
68,215200,-93.650318,42.051653,Somerset,8640,OneFam,Average,7,1547,True,True,Normal,2009,2009,3,6060.484784705545,3,Branch_1
69,262500,-93.647105,42.050084,Somerset,9000,OneFam,Average,7,1566,False,True,Normal,2008,2008,3,5751.396519598165,2,Branch_1
70,254900,-93.642773,42.052347,Somerset,12552,OneFam,Average,8,1947,True,True,Normal,2004,2005,3,5507.346982644875,3,Branch_1
71,271500,-93.642224,42.051429,Somerset,10440,OneFam,Average,6,1468,False,True,Normal,2005,2005,2,5426.232323693881,2,Branch_1
72,233000,-93.692309,42.036255,Sawyer_West,10142,OneFam,Average,8,2084,True,True,Normal,2004,2004,4,9179.308786979676,3,Branch_3
73,181000,-93.692412,42.036113,Sawyer_West,11920,OneFam,Average,8,1659,True,True,Normal,2004,2004,3,9187.229184072932,3,Branch_3
74,205000,-93.68981,42.036026,Sawyer_West,8880,OneFam,Average,8,2110,True,True,Normal,1994,2002,3,8971.562891248706,3,Branch_3
75,143000,-93.686417,42.03548,Sawyer_West,8012,TwnhsE,Average,5,923,False,True,Normal,1980,1980,2,8688.692216970308,2,Branch_3
76,189000,-93.687694,42.036659,Sawyer_West,11218,OneFam,Average,8,1845,True,True,Normal,1992,1992,3,8799.419576444729,3,Branch_3
77,99500,-93.686263,42.034589,Sawyer_West,7892,TwnhsE,Average,5,918,False,True,Normal,1979,1979,2,8673.39604358579,2,Branch_3
78,125000,-93.686264,42.0347,Sawyer_West,7175,TwnhsE,Average,4,752,False,True,Normal,1984,1984,2,8673.735041214304,1,Branch_3
79,194500,-93.68628,42.036633,Sawyer_West,9453,OneFam,Good,7,1744,True,True,Normal,1993,2003,3,8682.327052510203,3,Branch_3
80,152000,-93.685028,42.034555,Sawyer_West,9672,OneFam,Average,6,1097,False,True,Normal,1984,1985,3,8571.075720306515,2,Branch_3
81,171000,-93.685029,42.034678,Sawyer_West,8400,OneFam,Above_Average,7,1564,True,True,Normal,1980,1981,3,8571.441046272988,3,Branch_3
82,67500,-93.6790694,42.0360754,Sawyer_West,9800,OneFam,Average,5,1012,False,True,Normal,1920,1950,2,8083.110863314141,1,Branch_3
83,112000,-93.677205,42.036535,Sawyer,8930,Duplex,Average,8,1902,True,True,Normal,1978,1978,4,7931.2238759588545,2,Branch_3
84,148000,-93.673669,42.034793,Sawyer,11782,OneFam,Good,6,1155,False,True,Normal,1961,1995,3,7631.333430882012,1,Branch_3
85,138500,-93.670956,42.035685,Sawyer,8450,OneFam,Very_Good,5,894,False,True,Normal,1965,2009,3,7410.072624366389,1,Branch_3
86,122000,-93.672096,42.034856,Sawyer,9819,OneFam,Average,5,900,False,True,Normal,1967,1967,3,7501.312857123633,1,Branch_3
87,133000,-93.672067,42.03457,Sawyer,7500,OneFam,Average,5,1040,False,True,Normal,1963,1963,3,7498.110887614466,2,Branch_3
88,127000,-93.669688,42.035333,Sawyer,6897,OneFam,Very_Good,6,1040,False,True,Normal,1962,2010,3,7303.675296001804,2,Branch_3
90,190000,-93.646749,42.048253,Northridge,10186,OneFam,Average,8,1923,True,True,Normal,1992,1992,3,5659.381228066146,3,Branch_1
91,362500,-93.651773,42.046825,Northridge,13143,OneFam,Average,9,2349,True,True,Normal,1993,1993,4,6015.051677501,3,Branch_1
92,285000,-93.652773,42.045773,Northridge,11134,OneFam,Average,7,2225,True,True,Normal,1992,1993,4,6066.739911834616,3,Branch_1
93,260000,-93.647988,42.047452,Somerset,4835,TwnhsE,Average,6,1488,False,True,Normal,2004,2005,2,5731.766741456321,2,Branch_1
94,190000,-93.64614,42.048086,Somerset,3515,TwnhsE,Average,3,1680,True,True,Normal,2004,2004,2,5605.722580257362,3,Branch_1
95,155000,-93.645599,42.048566,Somerset,3215,TwnhsE,Average,4,1200,True,True,Normal,2004,2004,2,5579.300000663509,3,Branch_1
96,151000,-93.644889,42.047899,Somerset,3182,TwnhsE,Average,4,1200,True,True,Normal,2004,2005,2,5500.693903718807,3,Branch_1
97,149500,-93.644889,42.047876,Somerset,2544,Twnhs,Average,4,1200,True,True,Normal,2004,2005,2,5499.925416265286,3,Branch_1
98,152000,-93.64489,42.047782,Somerset,2544,Twnhs,Average,4,1236,True,True,Normal,2005,2005,2,5496.874871860627,3,Branch_1
99,222000,-93.6468879,42.0471748,Somerset,4403,OneFam,Average,7,1478,False,True,Partial,2009,2009,2,5635.712706214019,3,Branch_1
100,177500,-93.645606,42.046145,Somerset,2117,Twnhs,Average,5,1573,True,True,Normal,2000,2000,3,5502.425182640895,3,Branch_1
101,177000,-93.645585,42.046145,Somerset,2980,TwnhsE,Average,5,1512,True,True,Normal,2000,2000,2,5500.748997466047,3,Branch_1
102,155000,-93.645482,42.046424,Somerset,2572,Twnhs,Average,6,1416,True,True,Normal,1999,1999,3,5500.852452658048,3,Branch_1
103,147110,-93.645478,42.046114,Somerset,2403,TwnhsE,Average,4,1080,True,True,Normal,2003,2003,2,5491.29409312616,3,Branch_1
104,267916,-93.641253,42.0470316,Somerset,12853,OneFam,Average,6,1418,False,True,Partial,2010,2010,1,5184.632654188941,2,Branch_1
105,254000,-93.643556,42.04638,Somerset,7379,OneFam,Average,7,1848,True,True,Normal,2000,2000,3,5346.188702787273,3,Branch_1
106,155000,-93.649361,42.042565,Greens,4420,TwnhsE,Average,3,788,False,True,Normal,1980,1980,1,5715.606155966075,1,Branch_1
107,206000,-93.648143,42.043704,Greens,3880,Twnhs,Above_Average,4,1226,False,True,Normal,1978,1978,1,5641.868075759517,1,Branch_1
108,130500,-93.65921,42.034561,Sawyer,13517,OneFam,Very_Good,6,1479,True,True,Normal,1976,2005,3,6433.782020398129,3,Branch_3
109,230000,-93.639516,42.048606,Somerset,8000,OneFam,Average,6,1492,False,True,Normal,2002,2002,3,5104.423645665219,2,Branch_1
110,218500,-93.633351,42.046322,Northwest_Ames,10456,OneFam,Above_Average,8,1829,False,True,Normal,1967,1967,4,4538.655232740251,2,Branch_2
111,243500,-93.636879,42.043038,Northwest_Ames,10791,OneFam,Average,9,2495,True,True,Normal,1993,1993,4,4716.290797457933,3,Branch_2
112,205000,-93.637463,42.043306,Northwest_Ames,10603,OneFam,Good,6,1610,False,True,Normal,1977,2001,3,4770.346980283927,2,Branch_2
113,212500,-93.637531,42.043306,Northwest_Ames,18837,OneFam,Average,7,1891,True,True,Normal,1978,1978,3,4775.812296827527,3,Branch_2
114,196500,-93.637788,42.043329,Northwest_Ames,10421,OneFam,Average,7,1714,True,True,Normal,1988,1988,3,4797.082501086905,3,Branch_2
115,197500,-93.631435,42.043822,Northwest_Ames,9360,OneFam,Good,5,1381,False,True,Normal,1972,2006,3,4303.240655994394,2,Branch_2
116,171000,-93.632554,42.043821,Northwest_Ames,9600,OneFam,Above_Average,7,1645,True,True,Normal,1971,1971,4,4392.234761661907,3,Branch_2
117,142250,-93.626137,42.046574,North_Ames,9600,OneFam,Average,6,1232,False,True,Normal,1966,1966,3,3989.4042800249204,2,Branch_2
118,143000,-93.625926,42.042205,Northwest_Ames,9790,OneFam,Average,6,1328,False,True,Normal,1963,1963,3,3815.352875643828,2,Branch_2
119,128950,-93.623383,42.043363,North_Ames,9320,OneFam,Average,6,1225,False,False,Normal,1959,1959,3,3651.532234595481,2,Branch_2
120,159000,-93.626939,42.039085,North_Ames,9900,OneFam,Average,6,1209,False,True,Normal,1966,1966,3,3819.7635859440497,1,Branch_2
121,178900,-93.627536,42.038971,North_Ames,9680,OneFam,Above_Average,6,1510,False,True,Normal,1967,1967,3,3866.2224244625622,2,Branch_2
123,180500,-93.627809,42.041146,North_Ames,14112,OneFam,Good,6,1152,False,True,Normal,1964,1964,3,3937.013893362173,1,Branch_2
126,142125,-93.622864,42.039211,North_Ames,9717,OneFam,Above_Average,5,1078,False,True,Normal,1950,1996,2,3490.9699340529423,1,Branch_2
127,197600,-93.620651,42.039211,North_Ames,9724,OneFam,Good,7,2461,True,True,Normal,1952,2002,3,3311.5689170467163,2,Branch_2
128,172500,-93.620504,42.038538,North_Ames,17360,OneFam,Above_Average,6,1556,True,True,Normal,1949,1950,3,3284.802525504042,2,Branch_2
129,116500,-93.629287,42.035256,Brookside,7207,OneFam,Good,4,858,False,False,Normal,1958,2008,2,3961.630211590166,1,Branch_2
130,76500,-93.629313,42.035482,Brookside,5350,OneFam,Poor,6,1306,False,False,Normal,1940,1966,3,3965.456149032594,1,Branch_2
131,128000,-93.62475,42.035943,North_Ames,9920,OneFam,Average,6,1063,False,True,Normal,1954,1954,3,3592.9671556226413,1,Branch_2
132,153000,-93.624601,42.036095,North_Ames,9600,OneFam,Above_Average,7,1520,False,True,Normal,1955,1972,3,3582.2714710776277,1,Branch_2
133,132000,-93.621431,42.037424,North_Ames,7800,OneFam,Above_Average,7,1268,False,True,Normal,1954,1954,2,3339.70861155171,1,Branch_2
134,178000,-93.618221,42.048494,North_Ames,11380,OneFam,Very_Good,5,1128,False,True,Normal,1966,2008,2,3492.027140014328,1,Branch_2
135,154300,-93.6184183,42.0459375,North_Ames,11600,Duplex,Average,12,2274,True,True,Normal,1960,1960,5,3375.7553854008142,2,Branch_2
136,180000,-93.614307,42.049514,North_Ames,19900,OneFam,Average,7,2207,False,True,Normal,1970,1989,3,3276.322723676765,2,Branch_2
137,190000,-93.614244,42.047447,North_Ames,16492,OneFam,Above_Average,6,1888,False,True,Normal,1966,2002,2,3148.868879071477,3,Branch_2
138,135000,-93.617693,42.044895,North_Ames,8267,Duplex,Average,8,1604,False,True,Normal,1958,1958,4,3273.025211624472,2,Branch_2
139,214000,-93.617553,42.043984,North_Ames,8197,OneFam,Average,7,1480,False,True,Normal,2003,2009,3,3222.705237697721,2,Branch_2
140,136000,-93.617117,42.042908,North_Ames,8050,OneFam,Average,6,1143,False,True,Normal,1959,1959,3,3145.4669740712634,1,Branch_2
141,165500,-93.6177041,42.0430839,North_Ames,10552,OneFam,Average,6,1700,False,True,Normal,1959,1959,4,3197.84070269561,2,Branch_2
142,145000,-93.618626,42.044847,North_Ames,8400,OneFam,Above_Average,5,1314,False,True,Normal,1957,1957,3,3341.7133083484055,1,Branch_2
143,148000,-93.616582,42.043969,North_Ames,8760,OneFam,Above_Average,6,1194,False,True,Normal,1959,1959,3,3147.820616510955,1,Branch_2
145,167500,-93.613301,42.044176,North_Ames,9300,OneFam,Average,6,1264,False,True,Normal,1960,1960,3,2909.10247673392,1,Branch_2
146,108538,-93.61513,42.044883,North_Ames,10725,OneFam,Average,6,1206,False,True,Normal,1959,1959,3,3079.5739225501165,1,Branch_2
147,159500,-93.614241,42.0435919,North_Ames,10032,OneFam,Average,6,1580,False,True,Normal,1959,1959,3,2953.150277070526,2,Branch_2
148,108000,-93.613624,42.042308,North_Ames,8382,OneFam,Average,5,1337,True,True,Normal,1956,1956,3,2851.5212987233226,1,Branch_2
149,135000,-93.615622,42.040396,North_Ames,10950,OneFam,Good,4,1064,False,True,Normal,1952,1952,2,2939.8046573151396,1,Branch_2
150,122500,-93.617092,42.04137,North_Ames,10895,OneFam,Above_Average,5,972,False,True,Normal,1955,1955,3,3087.7449964429034,1,Branch_2
153,105000,-93.615475,42.038443,North_Ames,7898,OneFam,Good,4,985,False,True,Normal,1920,1994,2,2874.6368476260445,1,Branch_2
154,107500,-93.611642,42.038521,North_Ames,7200,OneFam,Good,5,827,False,True,Normal,1955,2007,2,2567.3558482469566,1,Branch_2
155,144900,-93.618788,42.038249,North_Ames,10200,OneFam,Good,6,1086,False,True,Normal,1954,2003,3,3139.218829908508,1,Branch_2
156,129000,-93.6192014,42.0381282,North_Ames,5868,OneFam,Good,4,936,False,True,Normal,1956,2000,2,3170.407680456657,1,Branch_2
158,144000,-93.6116762,42.0372097,Old_Town,6979,Duplex,Average,4,1056,False,True,Normal,1980,1980,0,2539.1539738335377,0,Branch_2
159,162000,-93.607275,42.040085,North_Ames,9830,OneFam,Good,7,1287,False,True,Normal,1959,2006,3,2272.3829212021724,1,Branch_2
160,242000,-93.606905,42.041119,North_Ames,11275,OneFam,Good,11,2978,True,True,Normal,1967,2007,5,2286.62490737603,3,Branch_2
161,132000,-93.61061,42.035867,North_Ames,8064,OneFam,Very_Good,5,1224,True,True,Normal,1948,2004,3,2428.280152283947,1,Branch_2
162,154000,-93.605969,42.03594,North_Ames,7500,OneFam,Good,6,1246,False,True,Normal,1959,1994,3,2049.275039488103,2,Branch_2
163,166000,-93.609218,42.0347571,North_Ames,8520,OneFam,Below_Average,6,1385,True,True,Normal,1952,1952,4,2300.2211338233037,2,Branch_2
164,134800,-93.607801,42.034848,North_Ames,7200,OneFam,Good,5,900,False,True,Normal,1951,2000,3,2184.2805012003187,1,Branch_2
165,160000,-93.605943,42.034748,North_Ames,10000,OneFam,Above_Average,5,1116,False,True,Normal,1962,1962,3,2030.072027788185,2,Branch_2
166,148000,-93.606742,42.034851,North_Ames,7635,OneFam,Above_Average,6,1175,False,True,Normal,1960,1960,3,2097.036936827827,2,Branch_2
167,192000,-93.604835,42.036873,North_Ames,9760,OneFam,Good,7,1395,False,True,Normal,1963,1984,2,1976.7287831786962,1,Branch_2
168,155000,-93.603705,42.037093,North_Ames,7700,OneFam,Average,7,1839,True,True,Normal,1966,1966,4,1891.3024210947483,2,Branch_2
170,96500,-93.617135,42.032134,Old_Town,8800,OneFam,Good,7,1140,True,False,Normal,1910,2004,3,2948.7972642683594,1,Branch_2
171,109500,-93.62024,42.031363,Old_Town,4485,OneFam,Good,5,936,False,False,Normal,1920,1950,2,3209.4528342716794,1,Branch_2
172,115000,-93.620241,42.031381,Old_Town,8960,OneFam,Above_Average,5,1028,False,True,Normal,1927,1950,2,3209.4242160047356,1,Branch_2
173,143000,-93.6179112,42.0303783,Old_Town,5805,OneFam,Good,6,1347,False,True,Normal,1957,1957,3,3025.407427469938,1,Branch_2
174,107400,-93.614002,42.033279,Old_Town,5790,OneFam,Above_Average,8,1605,True,True,Normal,1915,1950,3,2688.0710997525784,2,Branch_2
175,80000,-93.615431,42.033644,Old_Town,4608,OneFam,Above_Average,4,747,False,True,Normal,1945,1950,2,2807.1685205955255,1,Branch_2
177,130000,-93.608954,42.03128,Old_Town,5500,OneFam,Good,6,1316,False,True,Normal,1929,2001,3,2277.664798703844,1,Branch_2
178,119000,-93.6090761,42.0303113,Old_Town,6900,OneFam,Good,6,1251,True,True,Normal,1938,2000,3,2299.110164656271,1,Branch_2
179,129000,-93.610466,42.030383,Old_Town,11851,OneFam,Good,7,1633,True,True,Normal,1948,2009,3,2412.3320956351254,1,Branch_2
180,100000,-93.610468,42.030467,Old_Town,8239,OneFam,Above_Average,6,1245,True,True,Normal,1920,1962,3,2411.3997369006956,1,Branch_2
182,105900,-93.606789,42.030331,Old_Town,8520,OneFam,Very_Good,5,720,False,True,Normal,1928,2003,2,2111.1245489724924,1,Branch_2
184,139000,-93.610588,42.029146,Old_Town,10800,OneFam,Above_Average,7,1652,True,True,Normal,1915,1950,4,2442.5227759210516,2,Branch_2
185,240000,-93.61221,42.028145,Old_Town,9000,OneFam,Excellent,7,2268,True,True,Normal,1890,2002,3,2595.593550443963,3,Branch_2
187,149700,-93.608246,42.03005,Old_Town,7407,OneFam,Good,6,1236,False,True,Normal,1957,1996,2,2234.995753555291,1,Branch_2
188,125500,-93.607238,42.028164,Old_Town,7740,OneFam,Good,6,1363,True,True,Normal,1910,1950,3,2193.87891873666,1,Branch_2
189,122500,-93.608752,42.02916,Old_Town,11340,TwoFmCon,Above_Average,11,2290,True,True,Normal,1885,1950,4,2292.668822786678,2,Branch_2
190,140750,-93.607088,42.028165,Old_Town,10560,OneFam,Good,6,1470,True,True,Normal,1922,1994,2,2181.806099682001,2,Branch_2
191,128500,-93.625737,42.033642,Brookside,5830,OneFam,Above_Average,7,1612,True,True,Normal,1950,1997,3,3660.3485277868626,2,Branch_2
192,209500,-93.625825,42.030187,Brookside,7793,OneFam,Good,8,2068,True,True,Normal,1922,2005,3,3680.0260909239632,2,Branch_2
193,87000,-93.625586,42.033621,Brookside,5000,OneFam,Good,4,765,False,True,Normal,1925,1950,2,3647.801068832154,1,Branch_2
195,128000,-93.622597,42.0336,Brookside,6000,OneFam,Above_Average,6,1196,True,True,Normal,1940,1950,3,3400.2928900284037,2,Branch_2
196,132000,-93.623523,42.033665,Brookside,6360,OneFam,Above_Average,7,1453,True,True,Normal,1942,1950,3,3477.107119883958,2,Branch_2
197,139900,-93.622448,42.033631,Brookside,6000,OneFam,Good,6,1416,True,True,Normal,1948,1950,3,3388.028746155442,2,Branch_2
198,123900,-93.623483,42.031556,Brookside,6240,OneFam,Good,5,1040,True,True,Normal,1936,1980,2,3476.5746129388754,1,Branch_2
199,138400,-93.621482,42.031337,Brookside,6240,OneFam,Average,7,1536,True,True,Normal,1930,1950,4,3312.3045698748692,2,Branch_2
200,109500,-93.620409,42.032302,Old_Town,6120,OneFam,Average,5,1068,False,True,Normal,1923,1950,2,3219.297098273271,1,Branch_2
201,140000,-93.62338,42.027986,Old_Town,10300,OneFam,Above_Average,9,1710,True,True,Normal,1921,1950,3,3508.592308917781,2,Branch_2
202,149500,-93.621674,42.028888,Old_Town,8094,OneFam,Average,9,1962,True,True,Normal,1915,1950,4,3354.1202755719746,2,Branch_2
203,159900,-93.621835,42.028875,Old_Town,12900,OneFam,Very_Good,7,1560,True,False,Normal,1912,2009,3,3367.5259106488497,2,Branch_2
204,122000,-93.621632,42.026914,Old_Town,3068,OneFam,Very_Good,6,1324,True,True,Normal,1920,1993,3,3387.3964721018883,1,Branch_2
205,110000,-93.629495,42.020693,Iowa_DOT_and_Rail_Road,8472,Duplex,Average,5,816,False,True,Normal,1963,1963,2,4198.941837529853,1,Branch_4
